date,route_id,sku_id,transport_mode,distance_km,cost,delivery_time_days
2025-04-16,R004,SKU020,Rail,434,3906,3
2025-03-13,R008,SKU005,Truck,643,10931,2
2025-02-14,R013,SKU015,Air,285,4560,1
2025-01-24,R019,SKU006,Truck,652,3260,3
2025-01-25,R001,SKU006,Truck,520,2600,1
2025-01-21,R020,SKU011,Truck,899,8990,8
2025-02-02,R017,SKU003,Air,529,2645,9
2025-03-13,R003,SKU011,Truck,61,488,9
2025-03-31,R016,SKU017,Rail,384,7296,1
2025-03-08,R017,SKU002,Truck,911,16398,3
2025-03-04,R007,SKU015,Rail,919,14704,5
2025-02-16,R017,SKU010,Rail,151,1057,4
2025-02-21,R014,SKU006,Truck,766,9958,9
2025-01-21,R010,SKU008,Air,958,8622,8
2025-04-30,R014,SKU009,Truck,575,9200,4
2025-01-22,R013,SKU004,Air,572,4004,2
2025-01-25,R020,SKU003,Air,674,3370,9
2025-01-11,R020,SKU016,Rail,933,9330,2
2025-02-23,R017,SKU007,Truck,999,12987,4
2025-04-17,R008,SKU002,Rail,217,3255,8
2025-02-06,R004,SKU007,Rail,571,5710,6
2025-03-30,R015,SKU002,Truck,940,15980,2
2025-03-02,R004,SKU014,Truck,998,18962,6
2025-04-29,R006,SKU001,Truck,256,4608,6
2025-02-28,R006,SKU008,Truck,522,8352,1
2025-01-14,R019,SKU019,Truck,384,2688,6
2025-02-01,R016,SKU005,Air,602,7826,6
2025-04-14,R004,SKU008,Air,681,4086,3
2025-02-10,R002,SKU004,Air,904,11752,7
2025-01-08,R015,SKU003,Truck,417,6672,6
2025-04-09,R015,SKU002,Air,831,10803,6
2025-04-02,R014,SKU009,Air,489,4401,8
2025-04-08,R011,SKU017,Truck,797,5579,7
2025-01-20,R015,SKU013,Air,120,600,7
2025-03-24,R009,SKU018,Rail,948,6636,4
2025-01-16,R015,SKU011,Truck,688,9632,8
2025-04-28,R018,SKU006,Rail,183,2928,5
2025-02-15,R020,SKU006,Air,319,1595,4
2025-04-06,R007,SKU007,Rail,997,15952,7
2025-01-11,R012,SKU018,Rail,233,3029,5
2025-04-30,R010,SKU002,Rail,137,1918,9
2025-04-12,R020,SKU006,Truck,425,4675,9
2025-02-18,R008,SKU010,Air,858,9438,9
2025-04-16,R019,SKU001,Air,679,10864,7
2025-02-21,R002,SKU010,Rail,925,7400,6
2025-02-14,R010,SKU020,Rail,298,1490,7
2025-03-21,R019,SKU009,Air,695,9035,9
2025-01-04,R012,SKU016,Air,289,3179,6
2025-01-03,R015,SKU012,Rail,125,1625,7
2025-02-28,R013,SKU008,Rail,576,9216,1
2025-02-28,R016,SKU012,Truck,348,2436,3
2025-02-05,R014,SKU015,Air,272,4352,4
2025-04-24,R019,SKU013,Air,993,4965,4
2025-04-15,R010,SKU013,Truck,453,4530,3
2025-03-08,R010,SKU010,Truck,944,11328,9
2025-01-02,R007,SKU013,Truck,734,13212,2
2025-01-14,R019,SKU013,Truck,701,5608,2
2025-02-05,R009,SKU019,Air,218,3270,3
2025-03-13,R006,SKU011,Rail,313,3443,2
2025-01-20,R010,SKU005,Rail,707,11312,7
2025-04-27,R010,SKU002,Air,918,12852,1
2025-04-13,R017,SKU001,Air,472,5664,3
2025-04-21,R017,SKU012,Rail,866,11258,4
2025-01-07,R016,SKU015,Truck,599,5391,1
2025-02-16,R005,SKU020,Truck,703,9139,2
2025-03-07,R019,SKU019,Air,399,1995,2
2025-01-11,R014,SKU017,Truck,619,8047,3
2025-04-02,R001,SKU019,Truck,164,984,3
2025-03-29,R017,SKU008,Rail,656,3280,8
2025-04-20,R006,SKU017,Rail,220,2640,8
2025-03-12,R002,SKU003,Truck,481,2886,8
2025-02-25,R004,SKU013,Truck,268,4288,5
2025-01-05,R009,SKU016,Air,239,3585,4
2025-02-18,R016,SKU001,Air,269,4573,4
2025-03-22,R013,SKU004,Rail,62,806,5
2025-04-04,R014,SKU011,Rail,771,6168,4
2025-01-19,R002,SKU005,Truck,461,3688,6
2025-04-04,R006,SKU018,Rail,512,2560,1
2025-04-05,R004,SKU002,Air,944,14160,5
2025-03-08,R020,SKU014,Air,313,5321,8
2025-04-15,R007,SKU018,Rail,623,11214,1
2025-03-02,R020,SKU004,Air,846,15228,5
2025-04-11,R005,SKU019,Air,668,4008,8
2025-04-26,R005,SKU008,Truck,814,14652,5
2025-03-14,R017,SKU011,Air,541,8656,8
2025-02-17,R018,SKU001,Rail,982,5892,6
2025-01-07,R011,SKU003,Rail,922,10142,3
2025-04-05,R005,SKU015,Truck,816,13872,9
2025-04-30,R009,SKU008,Truck,478,7170,9
2025-04-05,R006,SKU006,Air,539,9702,6
2025-04-13,R003,SKU009,Air,734,7340,5
2025-02-01,R008,SKU004,Air,944,5664,4
2025-03-24,R012,SKU007,Truck,341,4774,9
2025-02-13,R019,SKU011,Rail,87,1566,6
2025-02-02,R012,SKU007,Truck,104,1664,4
2025-03-26,R014,SKU006,Truck,418,2508,3
2025-02-18,R002,SKU002,Air,108,1836,6
2025-03-30,R014,SKU010,Truck,836,4180,1
2025-04-24,R019,SKU011,Air,539,9702,5
2025-01-23,R010,SKU004,Air,663,6630,2
2025-02-07,R006,SKU015,Truck,538,9684,3
2025-01-30,R014,SKU001,Rail,981,17658,7
2025-02-05,R020,SKU011,Truck,92,1748,6
2025-03-30,R013,SKU012,Rail,104,1144,8
2025-02-27,R002,SKU011,Air,685,4110,1
2025-03-05,R005,SKU008,Rail,526,7890,9
2025-02-21,R020,SKU001,Truck,236,3776,8
2025-02-06,R009,SKU010,Rail,356,6052,3
2025-01-09,R008,SKU020,Air,405,6480,7
2025-04-13,R010,SKU008,Air,654,7848,8
2025-01-14,R007,SKU016,Truck,69,483,9
2025-03-13,R005,SKU009,Truck,977,8793,2
2025-01-29,R008,SKU007,Truck,425,4250,4
2025-02-24,R009,SKU009,Truck,649,7788,7
2025-02-02,R015,SKU018,Rail,844,5064,2
2025-02-15,R011,SKU007,Air,587,11153,1
2025-03-04,R015,SKU017,Truck,198,1782,4
2025-04-25,R006,SKU009,Truck,912,8208,5
2025-04-29,R001,SKU001,Truck,263,2630,9
2025-03-24,R017,SKU005,Air,135,1080,6
2025-01-29,R008,SKU013,Truck,596,7748,4
2025-02-02,R013,SKU014,Air,360,3240,8
2025-02-16,R001,SKU013,Air,805,15295,5
2025-02-05,R012,SKU006,Truck,603,9045,2
2025-02-02,R002,SKU007,Truck,345,4830,1
2025-04-25,R011,SKU006,Air,845,11830,2
2025-03-27,R003,SKU018,Rail,525,6825,9
2025-01-30,R013,SKU018,Rail,132,2376,2
2025-01-11,R003,SKU008,Air,926,11112,6
2025-02-02,R013,SKU002,Truck,927,5562,7
2025-04-28,R018,SKU014,Truck,950,14250,2
2025-02-17,R006,SKU010,Rail,499,8483,9
2025-03-18,R012,SKU020,Rail,948,16116,5
2025-02-02,R004,SKU020,Rail,266,4522,6
2025-01-25,R015,SKU006,Rail,799,6392,1
2025-03-05,R011,SKU008,Truck,258,2322,9
2025-02-18,R001,SKU020,Air,973,6811,7
2025-01-10,R005,SKU001,Truck,673,4711,7
2025-02-03,R001,SKU017,Air,680,8160,2
2025-04-05,R007,SKU020,Air,279,1674,4
2025-03-24,R002,SKU002,Truck,734,5138,5
2025-04-12,R001,SKU017,Air,751,10514,7
2025-02-14,R018,SKU009,Truck,572,5720,6
2025-02-01,R010,SKU011,Truck,140,700,6
2025-01-21,R006,SKU006,Truck,677,9478,8
2025-04-11,R002,SKU006,Truck,89,890,9
2025-01-21,R011,SKU008,Rail,738,8118,4
2025-01-13,R015,SKU009,Air,158,2686,9
2025-01-25,R010,SKU004,Air,881,7929,5
2025-01-08,R017,SKU010,Truck,190,1710,5
2025-04-25,R012,SKU012,Truck,358,5728,2
2025-01-21,R002,SKU009,Rail,114,2052,3
2025-02-28,R005,SKU020,Rail,139,1251,2
2025-01-09,R005,SKU012,Rail,680,7480,2
2025-02-11,R003,SKU010,Rail,566,6792,7
2025-03-03,R017,SKU013,Rail,238,4046,3
2025-03-03,R005,SKU016,Rail,764,6112,6
2025-03-06,R018,SKU013,Rail,730,10950,5
2025-01-05,R016,SKU013,Rail,548,7124,3
2025-02-05,R009,SKU015,Rail,553,5530,8
2025-02-02,R004,SKU014,Rail,876,7008,2
2025-01-02,R011,SKU013,Rail,106,1060,7
2025-02-28,R020,SKU015,Air,820,7380,6
2025-04-04,R016,SKU002,Air,66,1254,7
2025-04-26,R003,SKU020,Truck,884,7072,3
2025-04-14,R015,SKU008,Truck,446,8474,7
2025-01-12,R008,SKU003,Rail,851,10212,6
2025-02-19,R018,SKU012,Air,428,3852,1
2025-02-10,R019,SKU010,Truck,413,2065,6
2025-01-17,R007,SKU003,Truck,872,7848,9
2025-04-25,R014,SKU011,Rail,217,2604,4
2025-04-07,R016,SKU004,Truck,747,3735,3
2025-03-29,R002,SKU003,Truck,394,5910,3
2025-01-07,R003,SKU010,Truck,842,13472,8
2025-03-10,R012,SKU010,Rail,791,9492,2
2025-02-07,R016,SKU009,Air,74,1332,2
2025-01-17,R007,SKU013,Rail,59,826,4
2025-02-28,R009,SKU011,Truck,360,3240,5
2025-02-07,R014,SKU002,Air,516,7740,9
2025-02-21,R013,SKU006,Truck,836,5852,9
2025-02-17,R003,SKU009,Air,192,1920,1
2025-01-30,R014,SKU008,Truck,948,16116,9
2025-01-24,R015,SKU012,Truck,666,7992,8
2025-01-06,R015,SKU009,Rail,551,8816,8
2025-02-15,R013,SKU013,Rail,638,11484,9
2025-04-22,R018,SKU012,Truck,290,2610,7
2025-03-06,R010,SKU013,Air,663,10608,1
2025-04-25,R009,SKU008,Air,261,2871,7
2025-03-16,R011,SKU008,Rail,63,504,4
2025-02-10,R015,SKU008,Air,389,3890,9
2025-04-22,R014,SKU016,Rail,384,3840,5
2025-01-12,R011,SKU018,Air,119,833,9
2025-01-15,R004,SKU002,Rail,151,2416,7
2025-04-15,R005,SKU006,Rail,721,10815,4
2025-01-10,R004,SKU020,Truck,483,3381,7
2025-03-18,R019,SKU001,Air,359,2154,4
2025-02-17,R017,SKU016,Truck,221,1326,8
2025-03-15,R012,SKU006,Truck,943,5658,4
2025-02-04,R009,SKU017,Truck,967,17406,7
2025-02-17,R003,SKU008,Truck,734,5872,9
2025-04-15,R014,SKU004,Rail,146,1022,2
2025-04-11,R009,SKU014,Air,293,1465,3
2025-04-10,R001,SKU014,Truck,571,7423,1
2025-01-14,R018,SKU007,Rail,173,2595,9
2025-02-05,R003,SKU014,Truck,524,5764,6
2025-01-11,R008,SKU010,Truck,269,5111,7
2025-01-06,R009,SKU014,Rail,921,9210,8
2025-01-25,R002,SKU006,Truck,585,5265,3
2025-04-17,R009,SKU007,Truck,65,715,8
2025-01-14,R005,SKU014,Rail,79,790,8
2025-04-04,R017,SKU014,Rail,277,4709,8
2025-02-16,R009,SKU011,Air,263,3945,4
2025-02-03,R020,SKU001,Truck,373,3357,5
2025-03-01,R001,SKU014,Air,723,7230,5
2025-02-10,R013,SKU013,Truck,767,3835,3
2025-01-18,R009,SKU012,Rail,830,13280,2
2025-03-17,R019,SKU002,Truck,503,3018,3
2025-02-23,R004,SKU006,Truck,104,1976,2
2025-03-27,R002,SKU007,Air,71,355,6
2025-01-08,R007,SKU008,Truck,761,13698,4
2025-04-09,R015,SKU018,Truck,150,2850,6
2025-02-11,R015,SKU020,Truck,725,8700,1
2025-01-04,R005,SKU002,Rail,897,9867,7
2025-01-15,R015,SKU004,Truck,404,7272,7
2025-02-16,R009,SKU005,Truck,335,3685,4
2025-01-07,R015,SKU001,Air,259,4921,3
2025-04-11,R016,SKU005,Air,810,11340,9
2025-01-22,R015,SKU013,Air,479,4790,8
2025-01-15,R005,SKU017,Truck,628,8164,9
2025-01-19,R018,SKU015,Truck,805,15295,7
2025-03-01,R020,SKU014,Air,112,1456,8
2025-03-16,R011,SKU007,Rail,809,12135,1
2025-01-20,R007,SKU010,Rail,148,1036,4
2025-01-30,R001,SKU006,Rail,501,6513,7
2025-01-11,R005,SKU006,Truck,659,3954,6
2025-01-09,R012,SKU014,Truck,242,2662,7
2025-02-11,R004,SKU002,Truck,601,6010,7
2025-02-11,R011,SKU011,Rail,215,2795,9
2025-01-22,R009,SKU006,Rail,618,4326,7
2025-04-09,R008,SKU020,Rail,849,8490,8
2025-04-19,R014,SKU002,Truck,62,682,3
2025-01-24,R014,SKU003,Rail,635,6350,6
2025-02-03,R019,SKU002,Air,677,5416,4
2025-01-26,R003,SKU011,Truck,826,14868,2
2025-01-14,R002,SKU003,Rail,551,9367,1
2025-04-10,R015,SKU010,Truck,477,4770,5
2025-04-05,R003,SKU003,Air,583,4664,4
2025-03-24,R004,SKU014,Air,715,5005,6
2025-03-06,R011,SKU015,Truck,212,1272,3
2025-02-17,R003,SKU016,Rail,561,9537,4
2025-02-09,R019,SKU007,Rail,261,3132,2
2025-04-21,R006,SKU012,Air,110,550,7
2025-01-04,R017,SKU012,Truck,86,1462,6
2025-04-21,R020,SKU008,Truck,301,3311,4
2025-03-03,R015,SKU013,Rail,169,1521,4
2025-01-28,R007,SKU018,Truck,90,990,9
2025-04-18,R010,SKU010,Truck,502,7530,6
2025-04-14,R006,SKU010,Air,277,1662,6
2025-03-18,R014,SKU012,Rail,138,1656,3
2025-02-06,R018,SKU007,Rail,963,11556,7
2025-04-08,R009,SKU004,Air,635,8890,8
2025-04-03,R008,SKU016,Air,744,5952,7
2025-01-25,R012,SKU009,Rail,736,7360,1
2025-03-05,R014,SKU012,Rail,456,2736,3
2025-01-06,R013,SKU019,Truck,601,11419,4
2025-01-25,R007,SKU019,Air,594,4158,1
2025-03-13,R020,SKU015,Air,760,9120,8
2025-04-19,R007,SKU001,Truck,835,10020,2
2025-01-06,R011,SKU005,Rail,121,1573,3
2025-03-08,R003,SKU007,Air,863,12082,5
2025-04-16,R009,SKU020,Air,253,3036,9
2025-03-27,R017,SKU018,Air,422,2532,7
2025-02-22,R014,SKU019,Air,653,4571,6
2025-04-10,R002,SKU012,Truck,247,4693,5
2025-02-06,R005,SKU008,Truck,421,5473,2
2025-01-11,R004,SKU004,Truck,811,14598,7
2025-02-13,R005,SKU017,Truck,459,7344,3
2025-01-21,R004,SKU019,Air,708,6372,2
2025-01-25,R017,SKU019,Truck,261,1566,8
2025-01-06,R011,SKU018,Rail,962,13468,3
2025-04-21,R017,SKU016,Rail,812,9744,8
2025-03-10,R002,SKU011,Rail,774,6192,4
2025-01-05,R019,SKU017,Rail,927,17613,8
2025-03-14,R011,SKU008,Rail,131,2489,7
2025-02-01,R004,SKU012,Truck,134,2010,5
2025-03-16,R018,SKU012,Rail,228,2052,4
2025-01-10,R012,SKU016,Truck,436,2180,5
2025-02-09,R001,SKU017,Truck,919,17461,7
2025-01-30,R003,SKU008,Air,277,3601,5
2025-03-19,R012,SKU009,Truck,934,12142,6
2025-03-24,R001,SKU005,Truck,571,10278,7
2025-01-17,R004,SKU011,Rail,388,3104,2
2025-03-31,R020,SKU001,Truck,111,1665,9
2025-03-24,R001,SKU001,Rail,628,8792,8
2025-04-06,R004,SKU015,Air,441,7938,7
2025-03-03,R008,SKU002,Truck,715,10725,6
2025-03-24,R016,SKU009,Air,505,7575,7
2025-03-26,R005,SKU002,Rail,988,13832,1
2025-01-21,R013,SKU006,Air,892,5352,6
2025-03-04,R003,SKU012,Air,476,5236,2
2025-03-08,R005,SKU017,Truck,659,10544,5
2025-04-03,R007,SKU013,Truck,337,5055,5
2025-03-03,R006,SKU018,Air,919,6433,2
2025-03-29,R005,SKU004,Truck,437,7429,1
2025-04-01,R005,SKU011,Rail,180,3420,5
2025-02-09,R020,SKU017,Air,949,5694,2
2025-04-05,R003,SKU002,Truck,278,2224,4
2025-02-04,R010,SKU009,Truck,335,3350,4
2025-03-13,R005,SKU019,Air,924,7392,4
2025-01-26,R008,SKU015,Truck,716,12172,4
2025-02-13,R001,SKU002,Rail,139,1112,8
2025-03-21,R002,SKU005,Air,76,608,4
2025-04-16,R007,SKU018,Truck,661,7932,2
2025-04-23,R001,SKU006,Air,762,6858,6
2025-04-04,R003,SKU013,Air,404,4040,8
2025-02-24,R012,SKU005,Rail,305,2440,2
2025-01-07,R012,SKU020,Rail,801,14418,2
2025-02-23,R001,SKU008,Rail,219,2409,6
2025-04-04,R010,SKU013,Truck,766,9192,1
2025-03-10,R006,SKU016,Rail,668,10688,2
2025-01-29,R014,SKU009,Rail,534,8544,1
2025-02-01,R012,SKU019,Truck,381,3048,5
2025-03-25,R014,SKU002,Truck,393,7074,1
2025-04-08,R010,SKU008,Air,305,4575,9
2025-01-15,R003,SKU011,Rail,56,896,7
2025-02-08,R006,SKU004,Air,511,4088,3
2025-03-24,R019,SKU017,Truck,64,832,4
2025-01-28,R018,SKU016,Rail,213,1704,5
2025-04-01,R005,SKU001,Rail,443,2658,5
2025-01-10,R006,SKU016,Air,69,1311,5
2025-03-11,R001,SKU012,Rail,283,1981,5
2025-01-05,R004,SKU015,Air,898,9878,8
2025-04-11,R019,SKU004,Rail,282,4794,5
2025-03-22,R019,SKU008,Air,230,4140,2
2025-01-23,R012,SKU005,Rail,376,3384,5
2025-02-10,R014,SKU003,Truck,767,6136,2
2025-03-08,R004,SKU006,Truck,966,6762,2
2025-04-26,R003,SKU020,Rail,559,5031,5
2025-03-21,R009,SKU007,Air,295,1475,8
2025-01-23,R015,SKU006,Rail,310,5270,8
2025-04-30,R019,SKU013,Truck,564,9588,8
2025-02-08,R009,SKU013,Air,90,1350,1
2025-03-06,R003,SKU003,Air,949,11388,1
2025-03-25,R013,SKU004,Air,309,4944,8
2025-02-12,R007,SKU019,Truck,327,2616,4
2025-04-07,R003,SKU006,Air,850,9350,9
2025-04-09,R003,SKU015,Truck,732,4392,3
2025-02-28,R007,SKU020,Air,881,11453,1
2025-03-01,R010,SKU009,Truck,310,5890,4
2025-01-14,R010,SKU011,Truck,742,11872,5
2025-03-20,R008,SKU013,Rail,533,9061,9
2025-03-29,R018,SKU006,Truck,775,9300,6
2025-01-21,R012,SKU007,Rail,572,4004,7
2025-03-07,R003,SKU010,Truck,668,10688,1
2025-02-03,R014,SKU013,Truck,688,4128,1
2025-02-20,R012,SKU009,Rail,737,5896,8
2025-01-11,R004,SKU020,Rail,347,4511,9
2025-03-03,R012,SKU017,Truck,447,3576,2
2025-03-23,R010,SKU013,Rail,314,4710,4
2025-01-01,R017,SKU012,Truck,633,3165,5
2025-03-30,R013,SKU020,Truck,382,7258,2
2025-04-04,R008,SKU013,Air,104,728,2
2025-01-14,R017,SKU010,Truck,178,1958,9
2025-04-21,R015,SKU001,Rail,677,12863,2
2025-03-03,R009,SKU008,Air,260,2860,9
2025-02-24,R014,SKU007,Rail,253,3795,1
2025-01-02,R015,SKU012,Truck,409,4908,6
2025-01-18,R010,SKU014,Truck,102,510,9
2025-01-11,R001,SKU013,Air,956,12428,3
2025-03-07,R010,SKU014,Truck,729,13851,6
2025-03-11,R002,SKU020,Rail,448,2688,6
2025-02-15,R001,SKU020,Truck,418,3762,7
2025-02-11,R013,SKU013,Rail,231,1617,8
2025-01-07,R008,SKU017,Air,936,7488,8
2025-03-02,R005,SKU017,Air,740,3700,5
2025-03-29,R006,SKU010,Truck,310,3100,9
2025-02-01,R005,SKU009,Air,103,1545,8
2025-01-28,R012,SKU011,Truck,249,1245,8
2025-04-08,R019,SKU018,Truck,59,649,9
2025-04-18,R005,SKU012,Air,258,4902,3
2025-01-21,R003,SKU012,Air,476,2380,8
2025-02-05,R010,SKU006,Air,537,9666,2
2025-03-29,R006,SKU020,Air,852,5112,2
2025-02-16,R016,SKU004,Air,669,3345,1
2025-03-04,R009,SKU020,Rail,621,5589,1
2025-03-08,R003,SKU006,Air,359,3590,5
2025-01-26,R019,SKU013,Air,588,8232,7
2025-01-13,R002,SKU020,Rail,68,476,3
2025-03-08,R013,SKU006,Rail,791,11865,9
2025-03-29,R016,SKU010,Air,352,5632,2
2025-02-27,R014,SKU002,Truck,136,1496,1
2025-02-23,R014,SKU011,Air,831,4155,6
2025-02-27,R012,SKU009,Truck,65,390,2
2025-04-22,R019,SKU010,Rail,885,9735,3
2025-04-29,R005,SKU005,Air,616,6776,9
2025-02-18,R003,SKU001,Rail,723,9399,1
2025-03-03,R010,SKU007,Air,547,9299,3
2025-01-31,R015,SKU007,Truck,617,4319,5
2025-02-27,R011,SKU007,Truck,231,1386,3
2025-01-14,R017,SKU005,Air,434,5208,6
2025-04-22,R017,SKU014,Air,607,6677,3
2025-01-07,R014,SKU015,Air,836,7524,2
2025-03-03,R001,SKU002,Air,341,2387,8
2025-04-23,R009,SKU005,Truck,172,2236,4
2025-03-21,R010,SKU015,Truck,193,1930,4
2025-04-28,R003,SKU015,Air,602,5418,3
2025-01-08,R003,SKU014,Air,794,5558,8
2025-03-01,R017,SKU012,Rail,385,2695,4
2025-02-04,R009,SKU013,Truck,878,14048,5
2025-01-15,R003,SKU003,Air,51,714,6
2025-02-26,R018,SKU016,Truck,975,6825,7
2025-02-24,R004,SKU016,Rail,405,6480,2
2025-04-24,R003,SKU018,Rail,728,12376,7
2025-02-23,R004,SKU013,Truck,525,8400,5
2025-02-05,R015,SKU019,Truck,993,15888,4
2025-02-26,R017,SKU011,Truck,442,7072,7
2025-01-12,R009,SKU010,Truck,395,7110,9
2025-03-25,R013,SKU016,Air,483,3864,3
2025-03-30,R013,SKU013,Truck,979,6853,6
2025-03-26,R012,SKU013,Rail,841,15138,1
2025-01-05,R010,SKU006,Air,231,3003,7
2025-04-10,R011,SKU007,Air,215,2580,8
2025-03-02,R012,SKU013,Truck,231,3465,2
2025-01-21,R001,SKU013,Rail,747,13446,9
2025-03-09,R019,SKU017,Rail,158,3002,2
2025-02-10,R010,SKU007,Air,421,6315,4
2025-04-18,R008,SKU012,Rail,472,3304,9
2025-01-28,R014,SKU019,Air,283,4528,2
2025-01-19,R013,SKU018,Truck,550,6600,6
2025-03-21,R009,SKU018,Rail,830,6640,3
2025-03-09,R001,SKU019,Truck,122,1342,9
2025-01-03,R018,SKU003,Rail,529,7935,9
2025-03-07,R004,SKU020,Truck,671,4697,2
2025-01-28,R019,SKU015,Rail,666,5994,5
2025-02-17,R010,SKU017,Truck,858,15444,6
2025-03-01,R001,SKU010,Rail,421,2947,5
2025-01-31,R005,SKU013,Air,458,6870,1
2025-03-03,R006,SKU003,Rail,497,2982,5
2025-03-24,R011,SKU020,Air,387,5805,3
2025-02-13,R020,SKU013,Truck,144,1872,7
2025-02-02,R019,SKU001,Air,728,11648,2
2025-03-29,R009,SKU017,Rail,118,1770,4
2025-04-12,R008,SKU006,Truck,186,2604,1
2025-03-08,R008,SKU013,Rail,399,3192,8
2025-01-19,R006,SKU013,Rail,741,4446,3
2025-01-11,R017,SKU008,Air,395,3950,9
2025-03-06,R020,SKU016,Air,263,2630,9
2025-04-14,R005,SKU013,Air,655,10480,2
2025-04-18,R003,SKU016,Rail,292,2336,2
2025-01-08,R008,SKU013,Rail,383,7277,5
2025-03-20,R014,SKU006,Rail,488,2440,3
2025-01-11,R006,SKU003,Truck,170,2210,4
2025-01-03,R019,SKU020,Air,156,1092,1
2025-03-13,R005,SKU006,Air,441,3087,3
2025-04-22,R003,SKU010,Truck,121,1452,9
2025-03-13,R007,SKU020,Rail,199,995,5
2025-04-08,R011,SKU015,Air,753,14307,3
2025-02-13,R012,SKU015,Air,99,1089,4
2025-01-11,R005,SKU015,Truck,517,6721,8
2025-03-27,R006,SKU010,Rail,488,4880,8
2025-03-12,R004,SKU018,Rail,444,4884,2
2025-04-26,R002,SKU002,Rail,952,14280,2
2025-01-20,R020,SKU007,Truck,854,5124,7
2025-02-11,R008,SKU018,Air,385,6930,9
2025-02-01,R007,SKU006,Rail,79,1422,9
2025-04-13,R007,SKU009,Air,898,7184,5
2025-03-17,R018,SKU005,Truck,598,6578,3
2025-01-01,R007,SKU006,Air,491,9329,8
2025-03-19,R007,SKU015,Air,978,12714,9
2025-01-07,R007,SKU020,Rail,703,7030,2
2025-01-10,R011,SKU003,Truck,461,2766,3
2025-03-01,R003,SKU017,Air,373,6714,7
2025-02-23,R017,SKU016,Air,405,5265,3
2025-04-28,R002,SKU016,Truck,906,14496,2
2025-01-03,R002,SKU002,Rail,455,4095,2
2025-02-17,R019,SKU001,Air,229,4122,9
2025-04-03,R001,SKU011,Air,130,1300,1
2025-02-19,R001,SKU009,Rail,559,3354,1
2025-04-06,R019,SKU020,Air,776,12416,7
2025-04-15,R009,SKU020,Air,636,6996,6
2025-01-27,R004,SKU009,Truck,471,8007,1
2025-03-31,R005,SKU014,Rail,397,4764,6
2025-02-04,R014,SKU002,Truck,674,6066,9
2025-04-02,R003,SKU009,Air,533,3198,4
2025-04-14,R004,SKU018,Air,970,18430,2
