date,sku_id,store_id,quantity,revenue
2025-03-28,SKU011,STR02,125,13500
2025-03-15,SKU012,STR01,56,15288
2025-01-13,SKU008,STR10,186,51522
2025-01-27,SKU002,STR05,78,20592
2025-02-07,SKU019,STR08,158,25912
2025-03-27,SKU020,STR01,120,17280
2025-01-04,SKU004,STR06,68,19584
2025-04-18,SKU007,STR10,139,16402
2025-02-08,SKU003,STR02,175,27475
2025-01-20,SKU008,STR09,50,11500
2025-03-18,SKU017,STR09,105,27300
2025-02-07,SKU006,STR10,93,25296
2025-02-01,SKU013,STR05,129,27993
2025-03-26,SKU011,STR05,196,23324
2025-02-26,SKU018,STR09,98,11074
2025-01-15,SKU001,STR05,103,22351
2025-01-03,SKU016,STR07,61,10553
2025-04-06,SKU016,STR08,151,37901
2025-01-28,SKU008,STR10,141,37083
2025-03-31,SKU008,STR10,109,30193
2025-01-28,SKU005,STR09,194,50440
2025-04-27,SKU020,STR03,183,33123
2025-04-25,SKU005,STR09,59,9145
2025-01-30,SKU018,STR05,168,22176
2025-04-28,SKU001,STR02,60,11040
2025-01-26,SKU017,STR01,147,29988
2025-04-09,SKU001,STR05,104,10920
2025-04-02,SKU017,STR05,144,33408
2025-04-12,SKU003,STR05,72,10944
2025-02-06,SKU010,STR10,132,32208
2025-03-26,SKU014,STR09,159,15900
2025-02-20,SKU013,STR04,162,21222
2025-02-03,SKU008,STR07,167,17034
2025-02-19,SKU012,STR01,103,23896
2025-04-04,SKU017,STR07,134,32294
2025-03-07,SKU011,STR03,152,40280
2025-03-05,SKU002,STR06,99,19503
2025-03-23,SKU015,STR03,101,26765
2025-04-07,SKU015,STR07,155,23250
2025-03-22,SKU005,STR04,187,52921
2025-01-17,SKU010,STR01,133,22344
2025-02-03,SKU006,STR05,175,24850
2025-04-22,SKU011,STR03,160,40000
2025-02-24,SKU016,STR06,193,20651
2025-01-04,SKU008,STR04,74,21756
2025-04-06,SKU003,STR02,110,24310
2025-02-20,SKU019,STR05,54,10314
2025-02-11,SKU006,STR01,182,20202
2025-03-31,SKU014,STR02,127,18288
2025-01-27,SKU009,STR10,96,21120
2025-03-27,SKU015,STR08,143,29458
2025-03-04,SKU016,STR01,75,10125
2025-01-01,SKU008,STR01,148,41292
2025-03-20,SKU015,STR08,63,8001
2025-03-28,SKU014,STR08,179,37232
2025-01-26,SKU014,STR08,164,17384
2025-01-03,SKU015,STR07,156,18252
2025-02-07,SKU003,STR03,64,18624
2025-03-30,SKU005,STR10,88,24992
2025-01-17,SKU007,STR06,175,25025
2025-01-25,SKU017,STR04,74,12358
2025-01-10,SKU003,STR09,158,38710
2025-04-21,SKU004,STR06,83,17430
2025-01-08,SKU008,STR01,132,18612
2025-02-10,SKU005,STR06,75,12225
2025-04-08,SKU013,STR06,170,22440
2025-02-22,SKU006,STR06,161,16583
2025-04-04,SKU011,STR08,104,24544
2025-04-29,SKU003,STR03,80,11120
2025-04-11,SKU004,STR08,55,9075
2025-03-25,SKU011,STR04,128,29824
2025-04-28,SKU017,STR08,111,31524
2025-03-07,SKU015,STR08,75,20850
2025-02-14,SKU012,STR05,119,30107
2025-04-28,SKU004,STR03,69,14628
2025-01-12,SKU015,STR01,139,33499
2025-03-05,SKU006,STR05,175,41650
2025-04-10,SKU013,STR03,183,50691
2025-04-30,SKU010,STR05,187,50677
2025-01-02,SKU013,STR08,179,32757
2025-03-06,SKU005,STR09,66,7128
2025-03-16,SKU015,STR08,87,22794
2025-04-04,SKU017,STR05,111,31857
2025-04-18,SKU018,STR05,169,39884
2025-02-03,SKU012,STR03,84,8400
2025-02-09,SKU008,STR09,63,10017
2025-01-30,SKU003,STR05,54,9828
2025-03-19,SKU004,STR09,91,17108
2025-01-18,SKU008,STR08,88,17864
2025-01-14,SKU019,STR06,146,17812
2025-03-04,SKU015,STR01,194,56842
2025-03-19,SKU008,STR08,88,24464
2025-03-11,SKU006,STR03,184,51152
2025-03-13,SKU010,STR04,64,13440
2025-01-29,SKU001,STR04,87,24708
2025-04-07,SKU005,STR07,82,24190
2025-03-27,SKU002,STR10,54,11988
2025-03-15,SKU001,STR06,87,20880
2025-01-31,SKU015,STR04,158,44082
2025-02-25,SKU015,STR08,54,13824
2025-02-16,SKU004,STR02,144,30816
2025-04-25,SKU004,STR04,75,10650
2025-01-27,SKU005,STR04,60,10380
2025-04-14,SKU006,STR06,72,10512
2025-03-31,SKU014,STR10,190,38570
2025-03-03,SKU018,STR09,160,32480
2025-03-01,SKU011,STR04,117,27144
2025-04-30,SKU005,STR08,176,36080
2025-04-23,SKU009,STR06,100,12800
2025-03-19,SKU008,STR09,60,15000
2025-01-01,SKU014,STR05,198,37422
2025-04-20,SKU004,STR06,106,10600
2025-03-04,SKU019,STR08,192,47616
2025-02-16,SKU009,STR05,186,51894
2025-02-26,SKU009,STR03,112,13888
2025-03-31,SKU011,STR06,179,41886
2025-03-23,SKU002,STR01,177,47790
2025-02-28,SKU012,STR03,74,22052
2025-02-21,SKU006,STR05,137,35620
2025-02-18,SKU011,STR06,163,24124
2025-03-12,SKU017,STR04,154,42504
2025-01-20,SKU008,STR01,120,12000
2025-04-06,SKU013,STR07,172,48676
2025-03-24,SKU017,STR08,68,7956
2025-01-01,SKU014,STR03,162,34506
2025-04-04,SKU006,STR03,112,25872
2025-01-01,SKU008,STR07,152,34960
2025-02-01,SKU010,STR10,159,41499
2025-04-07,SKU018,STR07,142,15194
2025-03-06,SKU003,STR08,121,18513
2025-04-21,SKU005,STR03,100,19600
2025-04-02,SKU015,STR08,84,16380
2025-03-29,SKU014,STR08,95,23085
2025-03-09,SKU020,STR05,191,29414
2025-02-17,SKU018,STR07,123,13038
2025-02-02,SKU019,STR03,85,10880
2025-03-01,SKU018,STR02,178,25988
2025-03-10,SKU020,STR10,179,52626
2025-03-28,SKU012,STR04,54,7344
2025-02-07,SKU009,STR02,102,27642
2025-04-09,SKU020,STR10,135,27945
2025-01-24,SKU017,STR10,169,26702
2025-04-20,SKU017,STR02,164,18532
2025-01-09,SKU008,STR02,74,14948
2025-03-14,SKU011,STR04,78,16224
2025-04-08,SKU005,STR06,195,44265
2025-03-26,SKU010,STR04,90,23850
2025-02-03,SKU017,STR05,171,29925
2025-03-28,SKU010,STR06,76,11856
2025-01-31,SKU006,STR08,147,16317
2025-04-19,SKU007,STR10,194,49082
2025-03-26,SKU014,STR02,103,21218
2025-03-06,SKU019,STR05,85,18190
2025-01-26,SKU011,STR08,60,15780
2025-04-23,SKU007,STR08,103,20291
2025-02-24,SKU015,STR08,199,33432
2025-02-25,SKU001,STR10,85,20995
2025-03-24,SKU003,STR04,130,37570
2025-04-19,SKU011,STR02,122,16958
2025-01-17,SKU001,STR09,110,29700
2025-04-14,SKU010,STR09,88,11792
2025-01-03,SKU018,STR05,157,42547
2025-02-20,SKU006,STR02,61,7198
2025-04-11,SKU012,STR01,66,11418
2025-02-26,SKU017,STR08,132,14124
2025-04-05,SKU017,STR07,167,49599
2025-03-13,SKU018,STR09,61,14762
2025-02-28,SKU009,STR10,96,12576
2025-01-10,SKU016,STR07,194,48500
2025-01-26,SKU007,STR05,56,13216
2025-04-25,SKU016,STR08,108,19548
2025-04-05,SKU020,STR07,195,55770
2025-04-16,SKU007,STR01,63,16254
2025-01-24,SKU003,STR02,180,24480
2025-02-12,SKU008,STR10,157,21666
2025-01-15,SKU017,STR04,142,35784
2025-01-13,SKU018,STR01,65,17485
2025-04-18,SKU002,STR07,83,21331
2025-04-29,SKU013,STR02,145,32190
2025-02-08,SKU014,STR04,78,22542
2025-04-23,SKU012,STR09,65,18395
2025-04-18,SKU015,STR09,59,15163
2025-01-25,SKU007,STR04,182,29848
2025-04-04,SKU017,STR03,191,41829
2025-01-30,SKU018,STR04,195,56355
2025-02-06,SKU016,STR01,122,29524
2025-02-18,SKU004,STR10,86,13760
2025-04-11,SKU011,STR06,88,24904
2025-03-04,SKU014,STR08,60,9660
2025-03-18,SKU002,STR09,101,10403
2025-02-28,SKU008,STR04,142,23004
2025-02-23,SKU019,STR10,156,24336
2025-03-31,SKU009,STR01,52,11388
2025-01-06,SKU005,STR05,103,15038
2025-03-28,SKU017,STR09,148,17612
2025-04-23,SKU010,STR03,131,21091
2025-01-17,SKU003,STR03,62,13578
2025-04-21,SKU009,STR04,191,38200
2025-04-08,SKU011,STR09,116,25752
2025-04-02,SKU009,STR03,125,33625
2025-01-09,SKU015,STR08,74,7696
2025-01-11,SKU002,STR08,173,23701
2025-03-13,SKU005,STR10,195,57915
2025-02-06,SKU016,STR05,130,27690
2025-02-09,SKU013,STR03,116,17980
2025-02-09,SKU002,STR08,140,18480
2025-01-06,SKU019,STR08,141,27636
2025-02-28,SKU016,STR09,62,12772
2025-02-14,SKU010,STR04,56,12992
2025-04-17,SKU013,STR10,80,9760
2025-02-11,SKU010,STR05,88,22704
2025-03-23,SKU004,STR02,126,13986
2025-02-08,SKU002,STR01,66,13398
2025-04-05,SKU002,STR08,158,41396
2025-04-22,SKU006,STR03,123,19926
2025-01-28,SKU015,STR05,71,20945
2025-01-20,SKU004,STR02,117,34047
2025-01-17,SKU012,STR06,194,45978
2025-04-28,SKU001,STR06,169,25181
2025-01-14,SKU015,STR04,174,18444
2025-01-29,SKU011,STR01,183,38430
2025-03-20,SKU019,STR10,75,20475
2025-04-08,SKU004,STR01,148,35520
2025-04-15,SKU007,STR07,78,19968
2025-03-16,SKU020,STR02,133,16093
2025-03-16,SKU003,STR01,175,49525
2025-04-02,SKU015,STR05,133,13965
2025-01-19,SKU005,STR03,50,7850
2025-02-07,SKU015,STR02,113,14012
2025-01-24,SKU012,STR02,64,8064
2025-03-13,SKU014,STR09,194,37248
2025-02-22,SKU008,STR02,180,34560
2025-03-05,SKU012,STR05,73,11607
2025-01-03,SKU020,STR09,66,14850
2025-04-18,SKU020,STR04,58,15370
2025-02-17,SKU002,STR08,121,28798
2025-03-05,SKU013,STR01,121,14520
2025-01-18,SKU018,STR06,81,8910
2025-02-14,SKU001,STR06,185,20350
2025-03-27,SKU019,STR08,90,21960
2025-03-17,SKU014,STR06,135,25785
2025-01-20,SKU001,STR10,146,14746
2025-04-07,SKU001,STR09,126,27090
2025-01-26,SKU007,STR02,152,28728
2025-02-15,SKU018,STR02,155,33790
2025-02-13,SKU017,STR08,110,32340
2025-01-06,SKU009,STR06,122,24644
2025-04-05,SKU009,STR02,57,9747
2025-02-19,SKU020,STR07,133,30723
2025-01-06,SKU003,STR09,155,17515
2025-03-16,SKU018,STR06,61,11346
2025-01-12,SKU013,STR09,94,20774
2025-01-19,SKU014,STR04,185,40330
2025-02-22,SKU019,STR02,195,48555
2025-02-06,SKU009,STR03,84,24192
2025-04-03,SKU015,STR01,184,32200
2025-02-18,SKU020,STR05,53,10971
2025-01-20,SKU018,STR01,145,29580
2025-02-05,SKU002,STR04,115,20470
2025-02-03,SKU004,STR06,88,23672
2025-04-25,SKU019,STR10,174,19314
2025-01-03,SKU013,STR02,89,10680
2025-01-15,SKU001,STR03,75,8025
2025-04-10,SKU016,STR07,91,24661
2025-01-14,SKU014,STR02,168,22848
2025-03-10,SKU006,STR09,111,17649
2025-04-21,SKU014,STR08,133,30457
2025-04-13,SKU006,STR01,172,32336
2025-01-28,SKU002,STR03,54,15768
2025-02-09,SKU012,STR08,94,23500
2025-02-16,SKU011,STR10,167,18871
2025-03-21,SKU010,STR10,125,24125
2025-04-15,SKU001,STR05,69,7383
2025-02-12,SKU012,STR01,106,17278
2025-04-28,SKU020,STR09,156,41184
2025-02-16,SKU005,STR05,98,21462
2025-02-13,SKU015,STR06,157,45216
2025-01-20,SKU018,STR02,86,10234
2025-01-26,SKU001,STR07,84,24948
2025-04-11,SKU005,STR01,61,7259
2025-02-22,SKU018,STR08,92,20700
2025-04-08,SKU018,STR09,88,24904
2025-04-21,SKU011,STR02,87,15921
2025-01-23,SKU013,STR04,129,35733
2025-04-16,SKU008,STR02,134,30552
2025-04-29,SKU008,STR06,54,9990
2025-02-16,SKU002,STR01,104,22672
2025-03-31,SKU011,STR10,163,39772
2025-01-26,SKU008,STR08,162,28350
2025-04-01,SKU008,STR09,95,28025
2025-02-02,SKU001,STR03,80,19280
2025-02-22,SKU016,STR05,154,29106
2025-03-03,SKU002,STR02,112,19264
2025-02-02,SKU009,STR09,62,10664
2025-04-27,SKU013,STR09,117,23049
2025-04-12,SKU014,STR04,151,17818
2025-03-11,SKU002,STR02,190,23180
2025-03-24,SKU013,STR01,137,20961
2025-03-12,SKU015,STR01,125,37250
2025-01-15,SKU019,STR09,98,13132
2025-02-13,SKU006,STR10,60,11880
2025-03-13,SKU014,STR10,58,5916
2025-03-26,SKU008,STR02,166,41998
2025-01-25,SKU012,STR05,97,13192
2025-03-20,SKU012,STR04,64,9088
2025-02-17,SKU006,STR02,157,34854
2025-02-12,SKU013,STR05,156,27924
2025-02-16,SKU015,STR09,85,12750
2025-01-15,SKU004,STR05,190,22420
2025-02-03,SKU014,STR04,166,25066
2025-04-20,SKU015,STR03,185,44955
2025-04-16,SKU004,STR02,51,14076
2025-03-18,SKU004,STR10,138,26634
2025-03-16,SKU007,STR10,88,21120
2025-01-31,SKU007,STR08,91,25753
2025-02-05,SKU020,STR04,167,17702
2025-02-23,SKU001,STR08,155,22630
2025-01-13,SKU009,STR10,58,6612
2025-01-10,SKU010,STR08,98,24794
2025-04-01,SKU005,STR04,99,24849
2025-01-19,SKU004,STR07,138,33810
2025-01-19,SKU004,STR10,118,32332
2025-02-18,SKU003,STR02,168,41664
2025-03-22,SKU016,STR05,192,50304
2025-04-02,SKU007,STR10,127,22352
2025-02-26,SKU002,STR03,56,10304
2025-01-18,SKU003,STR10,167,37408
2025-02-08,SKU009,STR01,73,20951
2025-02-15,SKU019,STR04,151,21291
2025-02-01,SKU007,STR04,146,38398
2025-01-03,SKU009,STR08,146,32412
2025-03-11,SKU009,STR07,62,9176
2025-03-01,SKU002,STR05,76,19684
2025-01-21,SKU008,STR06,99,16434
2025-04-28,SKU012,STR10,52,9620
2025-03-11,SKU002,STR07,51,10251
2025-03-22,SKU003,STR02,79,16985
2025-01-08,SKU012,STR10,85,25160
2025-03-18,SKU015,STR09,104,21320
2025-03-03,SKU016,STR01,193,46127
2025-01-08,SKU020,STR03,193,24897
2025-04-19,SKU019,STR08,167,17368
2025-03-25,SKU008,STR08,157,25748
2025-01-30,SKU020,STR06,199,59501
2025-04-13,SKU001,STR05,65,8905
2025-04-26,SKU002,STR04,163,26895
2025-04-15,SKU002,STR09,124,20584
2025-02-21,SKU004,STR02,104,10920
2025-02-04,SKU011,STR06,109,21800
2025-04-26,SKU010,STR01,91,24115
2025-03-23,SKU013,STR03,183,30378
2025-03-21,SKU007,STR04,63,10836
2025-01-15,SKU003,STR02,140,32060
2025-02-04,SKU018,STR04,59,7316
2025-03-07,SKU001,STR04,144,16272
2025-03-06,SKU014,STR06,174,48546
2025-01-03,SKU003,STR09,183,22692
2025-01-13,SKU002,STR08,198,58410
2025-01-25,SKU015,STR04,61,7991
2025-04-06,SKU013,STR04,195,31005
2025-03-04,SKU006,STR02,109,27250
2025-03-24,SKU019,STR05,59,11092
2025-01-02,SKU011,STR02,105,19110
2025-01-09,SKU003,STR05,122,31110
2025-03-03,SKU014,STR03,56,10024
2025-01-16,SKU001,STR04,53,10706
2025-02-09,SKU017,STR05,152,33896
2025-02-21,SKU020,STR04,173,45845
2025-04-13,SKU018,STR05,165,47850
2025-03-03,SKU003,STR07,141,15933
2025-03-12,SKU005,STR06,182,51324
2025-01-02,SKU006,STR05,187,29359
2025-04-30,SKU007,STR05,114,12768
2025-03-26,SKU018,STR05,131,35632
2025-02-01,SKU004,STR01,188,54520
2025-01-21,SKU020,STR07,166,20750
2025-03-09,SKU002,STR04,161,29141
2025-04-14,SKU003,STR09,91,10920
2025-02-11,SKU013,STR01,154,44814
2025-01-17,SKU009,STR09,178,40762
2025-03-01,SKU016,STR01,59,9263
2025-03-01,SKU008,STR05,77,10241
2025-01-08,SKU008,STR01,128,31232
2025-03-01,SKU013,STR03,118,30562
2025-02-13,SKU001,STR07,150,16050
2025-03-18,SKU008,STR09,136,19312
2025-01-01,SKU013,STR03,66,15312
2025-01-20,SKU008,STR10,159,37842
2025-02-21,SKU015,STR03,184,23368
2025-02-20,SKU011,STR10,54,5616
2025-04-04,SKU008,STR10,87,18270
2025-04-06,SKU016,STR01,185,37555
2025-01-25,SKU009,STR02,98,13230
2025-03-09,SKU014,STR09,171,37278
2025-03-03,SKU018,STR10,198,52074
2025-01-12,SKU008,STR02,167,18704
2025-02-22,SKU016,STR02,60,6540
2025-01-15,SKU017,STR08,195,54990
2025-03-14,SKU008,STR10,163,19723
2025-04-26,SKU020,STR05,81,22518
2025-02-15,SKU017,STR08,198,43758
2025-02-01,SKU007,STR01,61,16714
2025-01-18,SKU013,STR05,175,41125
2025-02-15,SKU008,STR07,135,33615
2025-04-17,SKU013,STR02,51,6528
2025-03-26,SKU015,STR04,76,11324
2025-04-05,SKU015,STR03,137,19591
2025-03-18,SKU011,STR05,146,41318
2025-01-03,SKU019,STR07,79,10902
2025-04-18,SKU015,STR09,177,37170
2025-01-08,SKU010,STR10,193,33003
2025-01-01,SKU012,STR05,52,15184
2025-01-04,SKU008,STR03,113,23165
2025-04-08,SKU011,STR09,59,14632
2025-02-15,SKU007,STR02,161,18032
2025-01-09,SKU020,STR04,135,25515
2025-02-27,SKU012,STR01,63,13860
2025-02-03,SKU020,STR03,119,18445
2025-03-24,SKU005,STR10,181,38010
2025-01-04,SKU020,STR10,73,18469
2025-02-06,SKU006,STR05,103,20806
2025-01-21,SKU010,STR06,53,15211
2025-02-26,SKU013,STR04,66,14388
2025-03-12,SKU004,STR03,129,36765
2025-02-24,SKU020,STR04,169,20787
2025-02-03,SKU018,STR03,109,26814
2025-02-18,SKU014,STR03,199,49949
2025-04-19,SKU012,STR10,166,42828
2025-04-10,SKU019,STR04,143,40326
2025-04-23,SKU001,STR02,112,24080
2025-04-23,SKU015,STR09,167,24048
2025-02-02,SKU017,STR06,53,13091
2025-04-22,SKU015,STR06,96,16992
2025-03-16,SKU007,STR09,139,33777
2025-03-10,SKU020,STR10,99,10098
2025-03-18,SKU011,STR01,143,31031
2025-04-19,SKU006,STR01,158,23700
2025-04-27,SKU019,STR10,84,12180
2025-01-26,SKU019,STR05,142,23146
2025-02-06,SKU020,STR01,198,34254
2025-03-05,SKU005,STR04,119,22491
2025-01-04,SKU007,STR07,178,21894
2025-02-26,SKU004,STR06,90,25290
2025-02-15,SKU012,STR09,80,14640
2025-01-24,SKU004,STR05,157,32185
2025-01-30,SKU007,STR03,63,13797
2025-01-10,SKU016,STR06,155,26195
2025-02-13,SKU009,STR04,156,28548
2025-03-23,SKU011,STR09,70,20650
2025-02-19,SKU001,STR07,119,26894
2025-01-15,SKU018,STR08,197,47674
2025-02-17,SKU007,STR05,169,38363
2025-01-14,SKU005,STR10,70,12670
2025-03-10,SKU003,STR07,98,24108
2025-04-25,SKU012,STR09,166,48970
2025-04-16,SKU007,STR06,82,14760
2025-01-24,SKU002,STR10,92,24656
2025-02-08,SKU017,STR01,147,43659
2025-04-20,SKU006,STR02,114,19722
2025-03-26,SKU005,STR02,71,14981
2025-02-26,SKU002,STR10,147,35721
2025-04-22,SKU019,STR07,135,23625
2025-03-29,SKU015,STR08,87,24969
2025-02-28,SKU010,STR03,112,16576
2025-03-05,SKU007,STR05,69,17457
2025-03-09,SKU014,STR04,192,42048
2025-04-14,SKU015,STR06,165,31515
2025-01-14,SKU009,STR08,107,13589
2025-01-26,SKU017,STR02,180,53820
2025-02-13,SKU001,STR10,55,14630
2025-02-21,SKU018,STR03,100,11000
2025-04-30,SKU012,STR10,57,14307
2025-04-02,SKU009,STR04,134,22914
2025-02-24,SKU009,STR08,91,14469
2025-03-25,SKU006,STR02,56,10024
2025-01-03,SKU013,STR03,76,16188
2025-04-17,SKU008,STR06,178,19046
2025-04-11,SKU016,STR05,53,15741
2025-04-20,SKU019,STR09,61,14518
2025-02-15,SKU016,STR01,112,23296
2025-04-29,SKU013,STR02,53,13515
2025-04-12,SKU005,STR09,180,35280
2025-03-09,SKU020,STR02,175,40600
2025-04-09,SKU009,STR04,183,29097
2025-02-13,SKU011,STR02,157,32499
2025-03-14,SKU002,STR06,180,31500
2025-04-02,SKU016,STR05,83,11620
2025-02-20,SKU015,STR02,107,18618
2025-02-26,SKU016,STR06,66,11088
2025-04-18,SKU011,STR03,82,18368
2025-01-16,SKU002,STR02,96,25536
2025-03-11,SKU009,STR04,173,17300
2025-03-13,SKU003,STR04,96,13152
2025-01-15,SKU003,STR09,166,46480
2025-02-15,SKU020,STR04,194,26772
2025-01-09,SKU003,STR02,164,38212
2025-04-01,SKU002,STR08,95,13015
2025-01-14,SKU004,STR05,121,34969
2025-02-04,SKU019,STR04,162,20088
2025-02-09,SKU014,STR10,151,37599
2025-02-17,SKU019,STR03,180,48420
2025-01-19,SKU009,STR04,120,19440
2025-03-14,SKU019,STR04,191,41829
2025-02-07,SKU004,STR08,79,8532
2025-03-05,SKU001,STR08,101,18988
2025-01-14,SKU011,STR05,127,17780
2025-03-09,SKU004,STR08,51,10404
2025-04-20,SKU009,STR08,176,49632
2025-01-16,SKU017,STR03,60,9780
2025-04-20,SKU018,STR05,198,33264
2025-02-17,SKU020,STR05,186,31062
2025-02-04,SKU017,STR02,114,12198
2025-02-14,SKU015,STR08,125,35125
2025-03-17,SKU014,STR09,196,24500
2025-02-21,SKU008,STR05,100,13700
2025-01-20,SKU019,STR04,104,30992
2025-04-02,SKU004,STR06,125,34000
2025-03-08,SKU012,STR02,140,39480
2025-04-15,SKU001,STR08,136,36040
2025-01-06,SKU018,STR01,110,12210
2025-01-06,SKU008,STR03,173,35465
2025-03-06,SKU013,STR01,148,39516
2025-01-14,SKU003,STR04,105,28980
2025-01-13,SKU006,STR01,95,20140
2025-03-03,SKU008,STR04,173,33908
2025-03-31,SKU007,STR05,111,22755
2025-04-17,SKU009,STR09,137,18632
2025-02-18,SKU009,STR01,137,16440
2025-02-20,SKU007,STR07,90,12420
2025-01-13,SKU011,STR03,188,33088
2025-02-15,SKU013,STR01,157,18526
2025-03-17,SKU008,STR08,158,17538
2025-03-02,SKU016,STR01,94,17766
2025-04-13,SKU005,STR08,140,38220
2025-03-28,SKU013,STR07,133,24073
2025-01-18,SKU002,STR04,176,46288
2025-03-23,SKU005,STR03,133,28196
2025-04-07,SKU012,STR10,192,26880
2025-02-08,SKU002,STR09,100,17400
2025-03-18,SKU010,STR02,100,21700
2025-03-14,SKU007,STR03,133,39501
2025-01-27,SKU002,STR06,180,43740
2025-04-04,SKU008,STR02,130,34840
2025-01-12,SKU003,STR01,104,14976
2025-03-20,SKU005,STR05,111,16428
2025-04-05,SKU006,STR05,156,38220
2025-02-05,SKU003,STR07,122,34160
2025-04-12,SKU012,STR02,81,23814
2025-03-08,SKU012,STR09,112,13664
